id,lang,path,sr,text
1,en,en/1.mp3,16000,HE WON'T BE ANY HAPPIER THERE THAN HE WAS HERE
2,en,en/2.mp3,16000,SHE GAVE SEVERAL EXAMPLES TO SHOW THAT THE PROGRAM IS EFFECTIVE
3,en,en/3.mp3,16000,A KANGAROO IS REALLY JUST A RABBIT ON STEROIDS
4,en,en/4.mp3,16000,THE MEMORY WE USED TO SHARE IS NO LONGER COHERENT
5,en,en/5.mp3,16000,HE TOLD US A VERY EXCITING ADVENTURE STORY
6,en,en/6.mp3,16000,HE CREATED A PIG BURGER OUT OF BEEF
7,en,en/7.mp3,16000,A DEAD DUCK DOESN'T FLY BACKWARD
8,en,en/8.mp3,16000,HAVING NO HAIR MADE HIM LOOK EVEN HAIRIERD
9,es,es/9.mp3,16000,ME ENCANTA VIAJAR Y DESCUBRIR NUEVOS LUGARES.
10,es,es/10.mp3,16000,PUEDES AYUDARME A ENCONTRAR MI TELéFONO CELULAR.
11,es,es/11.mp3,16000,MI RESTAURANTE FAVORITO SIRVE COMIDA MEXICANA DELICIOSA.
12,es,es/12.mp3,16000,ESTOY ESTUDIANDO ESPAñOL PARA PODER COMUNICARME MEJOR CON MIS AMIGOS HISPANOHABLANTES.
13,es,es/13.mp3,16000,LA PELíCULA QUE VIMOS ANOCHE FUE MUY EMOCIONANTE.
14,es,es/14.mp3,16000,"PODRíAS PASARME LA SAL, POR FAVOR"
15,es,es/15.mp3,16000,EL CLIMA EN MI CIUDAD NATAL ES MUY CáLIDO Y HúMEDO EN VERANO.
16,es,es/16.mp3,16000,HOY TENGO UNA CITA CON EL DENTISTA A LAS TRES DO LA TARDE.
17,ja,ja/17.mp3,16000,私は日本語を勉強しています。
18,ja,ja/18.mp3,16000,今日はとても暑いですね。
19,ja,ja/19.mp3,16000,ごめんなさい、遅れてしまいました。
20,ja,ja/20.mp3,16000,日本の食べ物はおいしいです。
21,ja,ja/21.mp3,16000,昨日、友達と映画を見に行きました。
22,ja,ja/22.mp3,16000,どうぞ、お先にどうぞ。 
23,ja,ja/23.mp3,16000,日本に行くのは夢です。
24,zh,zh/24.mp3,16000,今天天气很好，我们可以出去散步。
25,zh,zh/25.mp3,16000,我们可以一起去看电影，你想看什么类型的电影
26,zh,zh/26.mp3,16000,我的家人很喜欢旅行，我们经常一起去不同的地方旅游。
27,zh,zh/27.mp3,16000,这个餐馆的菜很好吃，你们应该去试试。
28,zh,zh/28.mp3,16000,我已经学了汉语两年了，但是我还是觉得有很多东西需要学习。
29,zh,zh/29.mp3,16000,每个人都有他的作战策略，直到脸上中了一拳。
30,zh,zh/30.mp3,16000,这首歌使我想起了我年轻的时候。
